Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-bildgebung.json	37332	-	0	0	0	0	0	0	14	69	0	0	0	0	0	0	0	1	0	0	29	158	438	0	0	0	6	0	3
fsh-generated/resources/BodyStructure-mii-exa-bildgebung-koerperstruktur.json	929	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	7	11	16	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-mii-cps-bildgebung-capabilitystatement.json	96748	12	0	0	2	0	0	0	6	50	0	0	0	0	0	0	0	1	0	0	5	247	190	0	2	0	8	0	2
fsh-generated/resources/CarePlan-mii-exa-bildgebung-behandlungsempfehlung.json	547	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	6	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-bildgebung-instance-image-type.json	19764	5	0	0	0	0	0	0	2	13	0	0	1	0	0	0	0	0	0	0	3	50	183	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-mii-cs-bildgebung-scanning-sequence-variant.json	3192	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	12	69	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-bildgebung-scanning-sequence.json	2882	2	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	2	12	61	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-bildgebung-series-type.json	3361	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	13	58	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-bildgebung-transducer-type.json	3733	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	4	16	90	0	0	0	0	0	1
fsh-generated/resources/Composition-mii-exa-bildgebung-semistrukt-befundbericht.json	1368	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	6	38	0	0	0	0	0	0
fsh-generated/resources/Device-mii-exa-bildgebung-geraet.json	353	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	6	13	0	0	1	0	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-bildgebung-radiologischer-Befund.json	1705	2	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	4	9	39	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-mii-exa-bildgebung-bildgebungsstudie-cr.json	5134	2	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	4	17	50	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-mii-exa-bildgebung-bildgebungsstudie-ct.json	6128	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	14	47	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-mii-exa-bildgebung-bildgebungsstudie-mr-series.json	5028	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	15	41	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-mii-exa-bildgebung-bildgebungsstudie-mr.json	6838	3	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	3	17	44	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-mii-exa-bildgebung-bildgebungsstudie-nm.json	6425	1	0	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	3	17	42	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-mii-exa-bildgebung-bildgebungsstudie-pt.json	6248	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	18	118	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-mii-exa-bildgebung-bildgebungsstudie-us.json	5505	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	3	16	178	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-mii-exa-bildgebung-kontrastmittelgabe.json	689	2	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	3	7	16	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-bildgebung-radiologische-beobachtung.json	2261	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	10	24	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-bildgebung-radiologische-messung.json	2247	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	10	207	0	0	0	0	0	0
fsh-generated/resources/Patient-PatExample.json	212	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	4	8	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-bildgebung-bildgebungsprozedur.json	888	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	6	14	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-bildgebung-radiologische-befundungsprozedur.json	903	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	9	11	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-mii-exa-bildgebung-anforderung-bildgebung.json	1300	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	9	24	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-bildgebung-bildgebungsgrund.json	3501	2	0	15	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	1	52	685	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-mii-ex-bildgebung-gewicht.json	3563	2	0	13	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	49	256	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-mii-ex-bildgebung-groesse.json	3571	1	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	1	46	245	0	0	0	1	0	0
