Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-bildgebung.json	38523	-	0	0	0	0	0	0	10	207	0	0	0	0	0	0	0	1	0	0	23	237	265	0	0	0	4	0	3
fsh-generated/resources/BodyStructure-mii-exa-bildgebung-koerperstruktur.json	1205	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	8	99	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-mii-cps-bildgebung-capabilitystatement.json	96774	7	0	0	1	0	0	1	6	43	0	0	0	0	0	0	0	1	0	0	7	230	121	0	2	0	4	0	2
fsh-generated/resources/CarePlan-mii-exa-bildgebung-behandlungsempfehlung.json	578	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	7	97	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-bildgebung-instance-image-type.json	19766	3	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	7	73	169	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-bildgebung-scanning-sequence-variant.json	3194	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	6	29	99	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-bildgebung-scanning-sequence.json	2884	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	12	51	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-mii-cs-bildgebung-series-type.json	3363	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	5	14	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-bildgebung-transducer-type.json	3735	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	207	196	0	0	0	0	0	0
fsh-generated/resources/Composition-mii-exa-bildgebung-semistrukt-befundbericht.json	1467	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	7	36	0	0	0	0	0	0
